evaluation,fgw_distance_median,fgw_distance_q25,fgw_distance_q75
0,0.18062964969876488,0.18042273268578463,0.18100059464753276
1,0.18062110046636326,0.18042273268578463,0.1809582959061814
2,0.18058436780485534,0.1803971112761796,0.1808031320807648
3,0.18054188188982057,0.18029957565243857,0.1807550347340827
4,0.18048648614861315,0.18027703555032784,0.18066813899139844
5,0.18046321754396144,0.18025712846843056,0.18063311968879212
6,0.18045776021685295,0.18025712846843056,0.18063311968879212
7,0.18045368778849152,0.18024888567855044,0.18061987206626132
8,0.1804348395358863,0.18023166048999462,0.18061987206626132
9,0.18042518168986443,0.18021624846542525,0.18061987206626132
10,0.18041968697505326,0.1802017471349729,0.18059691000296255
11,0.18041968697505326,0.1802017471349729,0.18059691000296255
12,0.18041353292101897,0.18019402811612348,0.18059691000296255
13,0.18041353292101897,0.18019402811612348,0.18059432409109988
14,0.18037826574727944,0.18018600693642065,0.18057984046500358
15,0.18034902563207236,0.18018600693642065,0.1805548515566972
16,0.18032637641729865,0.18018337616168428,0.18053851983864827
17,0.18032637641729865,0.18018337616168428,0.18053851983864827
18,0.18031526745891513,0.18018337616168428,0.18053489194427516
19,0.18031526745891513,0.18018337616168428,0.18053489194427516
20,0.18031526745891513,0.18017744596440144,0.18049052351459655
21,0.18031526745891513,0.18017429454894027,0.18049052351459655
22,0.18031526745891513,0.18017429454894027,0.18049052351459655
23,0.18031526745891513,0.18017030569907425,0.18049052351459655
24,0.18031526745891513,0.18017030569907425,0.18046919852426344
25,0.18030759079790304,0.18017030569907425,0.1804563355062474
26,0.18030759079790304,0.18017030569907425,0.18045171382919928
27,0.18030759079790304,0.18017030569907425,0.18045171382919928
28,0.18030759079790304,0.18017030569907425,0.18045171382919928
29,0.18030347356609103,0.18017030569907425,0.18045171382919928
30,0.1802904438124306,0.18017030569907425,0.18044337473333438
31,0.1802904438124306,0.18017030569907425,0.18044337473333438
32,0.18028964063457514,0.18016238289436332,0.18044337473333438
33,0.18028964063457514,0.18016238289436332,0.18044337473333438
34,0.180273800493229,0.18016238289436332,0.18043170858075097
35,0.180273800493229,0.18015739827316293,0.18043170858075097
36,0.180273800493229,0.18015739827316293,0.18043170858075097
37,0.180273800493229,0.18015643163264985,0.18043170858075097
38,0.180273800493229,0.18015643163264985,0.18043170858075097
39,0.180273800493229,0.18015643163264985,0.18043170858075097
40,0.180273800493229,0.18015643163264985,0.18043170858075097
41,0.180273800493229,0.18015643163264985,0.18042058743923728
42,0.180273800493229,0.18015643163264985,0.18042058743923728
43,0.180273800493229,0.18015643163264985,0.18041327220542974
44,0.180273800493229,0.18015643163264985,0.18040787838974545
45,0.180273800493229,0.18015643163264985,0.18040787838974545
46,0.180273800493229,0.18015643163264985,0.18040787838974545
47,0.180273800493229,0.18015643163264985,0.18040787838974545
48,0.18026811120713818,0.18015643163264985,0.1803977909722458
49,0.18026811120713818,0.18015643163264985,0.1803977909722458
50,0.18026811120713818,0.18015643163264985,0.18039405445485657
