evaluation,fgw_distance_median,fgw_distance_q25,fgw_distance_q75
0,0.22065126131235663,0.22060267690519358,0.22075512082224397
1,0.22065126131235663,0.22060267690519358,0.22073845413574228
2,0.22064423491070462,0.22059465466936481,0.220711450720559
3,0.2206329271921287,0.2205825479555289,0.22070120731843704
4,0.2206329271921287,0.2205825479555289,0.22069642273611034
5,0.22061975948690715,0.22056672514849834,0.22069507927410925
6,0.2206097139960312,0.22056119900494725,0.2206814354006786
7,0.2206016149056329,0.22055808938137528,0.22067327015032423
8,0.2206016149056329,0.2205565170331138,0.22067327015032423
9,0.2206016149056329,0.2205556382771348,0.22067103638815452
10,0.22059612198428782,0.2205554399719455,0.2206461664104047
11,0.22059344168742623,0.2205554399719455,0.2206461664104047
12,0.22059059518364912,0.2205554399719455,0.2206461664104047
13,0.22058315831819278,0.2205547908158499,0.2206398230287487
14,0.22058289891348512,0.2205547908158499,0.22063405581455625
15,0.22057941152019322,0.2205547908158499,0.22062831933389992
16,0.2205767245280087,0.2205547908158499,0.2206276040364487
17,0.2205759221915799,0.2205523714534735,0.2206276040364487
18,0.22057458611606706,0.2205487676657809,0.22062329974346725
19,0.22057458611606706,0.2205487676657809,0.22062329974346725
20,0.22057458611606706,0.2205487676657809,0.22061549804780234
21,0.22057274850454645,0.22054756757291494,0.22061549804780234
22,0.22056749253936778,0.22054423404086265,0.22061549804780234
23,0.22056749253936778,0.22054423404086265,0.22061549804780234
24,0.22056749253936778,0.22054423404086265,0.22061549804780234
25,0.2205648161939523,0.22054354280233104,0.22061269980588247
26,0.2205648161939523,0.22054354280233104,0.22061269980588247
27,0.22056322748322957,0.22054354280233104,0.2206122258129453
28,0.22056322748322957,0.22054354280233104,0.2206122258129453
29,0.22056322748322957,0.22054354280233104,0.22061175131418292
30,0.22056322748322957,0.22054354280233104,0.22061175131418292
31,0.22056322748322957,0.22054354280233104,0.22061175131418292
32,0.22056322748322957,0.22054354280233104,0.22060596361398066
33,0.22056322748322957,0.22054354280233104,0.2206037019073674
34,0.22056191930225816,0.2205402290136789,0.2206037019073674
35,0.22056191930225816,0.2205402290136789,0.2206037019073674
36,0.22056191930225816,0.2205402290136789,0.2206037019073674
37,0.22056191930225816,0.2205402290136789,0.2206037019073674
38,0.22056132575951348,0.2205402290136789,0.2206037019073674
39,0.22056132575951348,0.2205402290136789,0.2206037019073674
40,0.22056132575951348,0.2205402290136789,0.2206037019073674
41,0.22056132575951348,0.2205402290136789,0.22060178161490052
42,0.22056132575951348,0.2205402290136789,0.22060178161490052
43,0.22056132575951348,0.22053980205781068,0.22060178161490052
44,0.22056070174510928,0.22053980205781068,0.22060178161490052
45,0.22056070174510928,0.22053980205781068,0.22060178161490052
46,0.2205597519606134,0.22053980205781068,0.22060178161490052
47,0.2205597519606134,0.22053980205781068,0.22060178161490052
48,0.2205597519606134,0.22053980205781068,0.22060178161490052
49,0.2205597519606134,0.22053980205781068,0.22060178161490052
50,0.2205597519606134,0.22053980205781068,0.22060178161490052
