evaluation,fgw_distance_median,fgw_distance_q25,fgw_distance_q75
0,0.22065126131235663,0.22060267690519358,0.22075512082224397
1,0.22063598201165113,0.22057706364890411,0.22071722067036362
2,0.2206237209164808,0.22056672920761805,0.22069707617135048
3,0.22060956793109598,0.22056283500288684,0.2206640953769341
4,0.22060242715806697,0.22055563449409873,0.2206535932946675
5,0.2205852963825954,0.2205481626333588,0.22064789103325724
6,0.22057988887709828,0.22054613748275897,0.22064346158786236
7,0.22057575163668974,0.22053877072277228,0.2206401336280749
8,0.2205718347637697,0.2205327554674836,0.22063438692551643
9,0.2205669220141409,0.22053258613137866,0.22063438692551643
10,0.22056634028751043,0.22053258405677006,0.22062877038425535
11,0.22056634028751043,0.22053258405677006,0.22061624454457127
12,0.2205655710388714,0.22053046976529117,0.2206041119802778
13,0.22056448999438188,0.22053046976529117,0.2206014883251204
14,0.2205625516515184,0.22053046976529117,0.22060029047544152
15,0.22055655527885742,0.22053046976529117,0.2205973902481399
16,0.22055582981694294,0.22052899544091897,0.22059121561109463
17,0.22055460581008585,0.22052712089897225,0.22059121561109463
18,0.2205500311355609,0.22052063006695735,0.22058537940499703
19,0.22054781582737987,0.22052063006695735,0.22058537940499703
20,0.22054781582737987,0.22052063006695735,0.22058537940499703
21,0.2205469382210718,0.22052063006695735,0.2205842551546035
22,0.22054659189420012,0.22052063006695735,0.2205842551546035
23,0.22054659189420012,0.2205204512950066,0.2205842551546035
24,0.22054659189420012,0.2205204512950066,0.2205830307262716
25,0.22054659189420012,0.2205204512950066,0.2205830307262716
26,0.22054659189420012,0.2205204512950066,0.2205830307262716
27,0.22054659189420012,0.2205204512950066,0.2205830307262716
28,0.22054605359256083,0.2205204512950066,0.2205830307262716
29,0.22054605359256083,0.2205204512950066,0.2205830307262716
30,0.22054605359256083,0.2205204512950066,0.2205830307262716
31,0.22054605359256083,0.2205204512950066,0.2205830307262716
32,0.22054605359256083,0.2205204512950066,0.2205830307262716
33,0.22054605359256083,0.2205204512950066,0.2205830307262716
34,0.22054605359256083,0.2205204512950066,0.2205830307262716
35,0.22054521348274364,0.2205204512950066,0.2205830307262716
36,0.22054521348274364,0.2205204512950066,0.2205830307262716
37,0.22054521348274364,0.2205204512950066,0.2205830307262716
38,0.22054521348274364,0.2205204512950066,0.2205830307262716
39,0.22054521348274364,0.2205204512950066,0.2205830307262716
40,0.22054521348274364,0.2205204512950066,0.2205827628557206
41,0.22054521348274364,0.2205204512950066,0.2205827628557206
42,0.22054521348274364,0.2205204512950066,0.2205827628557206
43,0.22054419552577603,0.2205204512950066,0.2205827628557206
44,0.22054419552577603,0.2205204512950066,0.2205827628557206
45,0.22054419552577603,0.2205204512950066,0.2205827628557206
46,0.22054419552577603,0.2205204512950066,0.2205827628557206
47,0.22054419552577603,0.2205204512950066,0.2205827628557206
48,0.22054419552577603,0.22052041791951546,0.2205827628557206
49,0.22054419552577603,0.22052041791951546,0.22058183154106945
50,0.22054419552577603,0.2205179509978339,0.22058183154106945
