evaluation,fgw_distance_median,fgw_distance_q25,fgw_distance_q75
0,0.26091613585615003,0.2608484144306997,0.2610083609671137
1,0.26091613585615003,0.2608484144306997,0.2609862568915069
2,0.26091299081096064,0.2608479368647221,0.26097461903979835
3,0.26090324321119085,0.2608465325482844,0.26096089059063277
4,0.26088839783474405,0.260829495782152,0.26095327381528793
5,0.2608822958376202,0.2608219432250524,0.2609434176156298
6,0.26086740361135374,0.26081663958262813,0.26093336265263856
7,0.26086740361135374,0.26081663958262813,0.2609295384323335
8,0.2608655693574885,0.26080997527590144,0.26092735242288917
9,0.2608570027884819,0.2608093973783072,0.2609196608220055
10,0.2608559412232275,0.2608091305208909,0.2609196608220055
11,0.2608559412232275,0.26080762186224926,0.2609196608220055
12,0.260850017128785,0.26080762186224926,0.26090652040938955
13,0.260850017128785,0.26080762186224926,0.26090652040938955
14,0.260850017128785,0.26080762186224926,0.26090375667285526
15,0.26084839478361355,0.2607958651141414,0.2608865882960171
16,0.26084632812693853,0.26079457739604917,0.26088642103456955
17,0.2608387848868765,0.2607907950615445,0.26088473360863973
18,0.26082927646132104,0.2607906650218692,0.2608818990696748
19,0.26082927646132104,0.2607906650218692,0.2608818990696748
20,0.26082927646132104,0.2607906650218692,0.26087631726046345
21,0.26082927646132104,0.2607906650218692,0.26086950724222674
22,0.26082927646132104,0.26078955710682816,0.26086950724222674
23,0.2608259152393587,0.26078484397809243,0.26086606788976807
24,0.2608253272629717,0.26078484397809243,0.26086448614091706
25,0.26082430821486424,0.26078484397809243,0.2608590449500219
26,0.26082267851107754,0.26078484397809243,0.26085546505021706
27,0.2608214181484014,0.26078484397809243,0.26085546505021706
28,0.2608214181484014,0.26078484397809243,0.26085546505021706
29,0.2608214181484014,0.26078484397809243,0.26085372846588784
30,0.2608192119675717,0.26078484397809243,0.26085372846588784
31,0.2608192119675717,0.26078484397809243,0.2608517922077321
32,0.2608160002689459,0.2607838627704325,0.26085023957459175
33,0.26081421835292473,0.26078340906516617,0.26085023957459175
34,0.26081367435901054,0.26078340906516617,0.26085023957459175
35,0.26081247909624933,0.2607814330989082,0.26085023957459175
36,0.26081247909624933,0.2607814330989082,0.26085023957459175
37,0.26081247909624933,0.2607814330989082,0.26085023957459175
38,0.26081247909624933,0.2607814330989082,0.26085023957459175
39,0.2608115432917413,0.2607814330989082,0.26085023957459175
40,0.2608115432917413,0.26078068879831673,0.26085023957459175
41,0.2608115432917413,0.26078068879831673,0.26085023957459175
42,0.2608115432917413,0.26078068879831673,0.26085023957459175
43,0.2608115432917413,0.26078068879831673,0.26085023957459175
44,0.2608115432917413,0.26078068879831673,0.26085023957459175
45,0.2608098933330207,0.26078068879831673,0.2608488052228784
46,0.2608093754030427,0.26078068879831673,0.26084844209278857
47,0.2608093754030427,0.26078068879831673,0.26084844209278857
48,0.2608090653093553,0.26078068879831673,0.26084844209278857
49,0.2608068056117028,0.2607788242910952,0.26084844209278857
50,0.2608068056117028,0.2607788242910952,0.26084844209278857
