evaluation,fgw_distance_median,fgw_distance_q25,fgw_distance_q75
0,0.18062964969876488,0.18042273268578463,0.18100059464753276
1,0.18057240398865265,0.18039257655872293,0.18077996841096672
2,0.18055474137874364,0.1803642888570117,0.18075735492563233
3,0.1804814133436007,0.18032368644347418,0.18066031111893516
4,0.18046320048517156,0.18032368644347418,0.18062187129181925
5,0.18043179596607828,0.18032368644347418,0.1805959916157369
6,0.18041850658150457,0.1802837457797145,0.1805774326152016
7,0.18041598234352832,0.1802772461608423,0.18055886427365717
8,0.18041598234352832,0.180272332711514,0.18053864060401079
9,0.18040578250082337,0.18026515789143582,0.18052289389060033
10,0.18037482432947005,0.1802488059072116,0.18051878032801666
11,0.18035485494375536,0.1802204574173319,0.18050452241348605
12,0.18034206800668612,0.18021899928159452,0.18046163031355245
13,0.18032985131141022,0.18021899928159452,0.18043487901541885
14,0.1803258028205111,0.18021899928159452,0.1804230143998604
15,0.18031932581083512,0.18017672133897428,0.18041789987633924
16,0.18031379812088488,0.18017672133897428,0.18041401195726203
17,0.18031379812088488,0.18017227303497674,0.18038685842235724
18,0.18030579696259547,0.18017227303497674,0.1803792220015612
19,0.18030579696259547,0.18017227303497674,0.1803792220015612
20,0.18030151778220596,0.18016831046100085,0.1803792220015612
21,0.18030151778220596,0.18015957802880098,0.18037588095771273
22,0.18028342961174773,0.18015498961205795,0.18037234309929565
23,0.18027677708143605,0.18015498961205795,0.18037234309929565
24,0.18027677708143605,0.18015498961205795,0.18035954918514296
25,0.18027677708143605,0.18015498961205795,0.18035954918514296
26,0.1802725942329999,0.18015490952715746,0.18035954918514296
27,0.18026738722042068,0.18015293681478348,0.18035313899997174
28,0.18026368219648162,0.18015293681478348,0.18035313899997174
29,0.1802565795009626,0.18015293681478348,0.18035224452835255
30,0.1802559254070778,0.18015293681478348,0.18035224452835255
31,0.1802559254070778,0.18015293681478348,0.18035224452835255
32,0.18025526116819812,0.18015293681478348,0.18035224452835255
33,0.18025526116819812,0.18015293681478348,0.18035224452835255
34,0.18025526116819812,0.18015293681478348,0.18035044988225377
35,0.1802478748038761,0.18015293681478348,0.18035044988225377
36,0.1802478748038761,0.18015293681478348,0.18035044988225377
37,0.180246648475043,0.18015293681478348,0.18035044988225377
38,0.180246648475043,0.18015293681478348,0.18035044988225377
39,0.180246648475043,0.18015293681478348,0.18035044988225377
40,0.180246648475043,0.18015293681478348,0.18035044988225377
41,0.180246648475043,0.18015020399858847,0.18035044988225377
42,0.180246648475043,0.18015020399858847,0.18035044988225377
43,0.180246648475043,0.18015020399858847,0.18035044988225377
44,0.180246648475043,0.180146873874811,0.18035044988225377
45,0.180246648475043,0.180146873874811,0.18035044988225377
46,0.180246648475043,0.180146873874811,0.18035044988225377
47,0.1802438790461175,0.180146873874811,0.18035044988225377
48,0.1802438790461175,0.180146873874811,0.18035044988225377
49,0.1802438790461175,0.1801402166643551,0.18035044988225377
50,0.1802438790461175,0.1801402166643551,0.18035044988225377
