evaluation,fgw_distance_median,fgw_distance_q25,fgw_distance_q75
0,0.26091613585615003,0.2608484144306997,0.2610083609671137
1,0.2609085207380839,0.26084750285198455,0.2609956127841074
2,0.26088655811968675,0.26084089048657555,0.26096853505455053
3,0.2608857647200645,0.26083032160906683,0.2609610566786002
4,0.2608823607663671,0.26083032160906683,0.26095955324776415
5,0.2608725025699574,0.26083032160906683,0.26092729398315745
6,0.260867564381337,0.2608212383802001,0.2609209190761247
7,0.26086601256654324,0.260817496214062,0.26091765509026155
8,0.26086377336121214,0.26081113119254623,0.2609124566891551
9,0.26086377336121214,0.26081113119254623,0.26090804493770453
10,0.26086265158442445,0.2608091424345884,0.26090653457633384
11,0.26086265158442445,0.2608091424345884,0.26090653457633384
12,0.26086157623771933,0.2608056225994261,0.26090653457633384
13,0.26085954176684006,0.2608039829051691,0.26090653457633384
14,0.26085419171288704,0.2608039829051691,0.26090097982522215
15,0.26085016426766205,0.2608039829051691,0.26090097982522215
16,0.26085016426766205,0.2608039829051691,0.26090097982522215
17,0.26084446400710926,0.26079877112237,0.26089645288338337
18,0.2608366963858604,0.26079457739604917,0.260888341599143
19,0.2608296931626302,0.2607941167340843,0.2608836933389663
20,0.2608275694164899,0.26079000398978386,0.26088210413141094
21,0.2608275694164899,0.26079000398978386,0.26087697200774174
22,0.2608237159445066,0.26078372780210013,0.26087697200774174
23,0.2608236981856549,0.26078372780210013,0.26087531448730794
24,0.2608236981856549,0.26078372780210013,0.2608715910629774
25,0.26081845516640234,0.26077515440936383,0.2608653646804808
26,0.2608179490295722,0.26077515440936383,0.2608642519911901
27,0.2608179490295722,0.26077515440936383,0.2608642519911901
28,0.2608179490295722,0.26077348579995097,0.2608642519911901
29,0.2608179490295722,0.26077348579995097,0.26086224202318864
30,0.2608179490295722,0.26077348579995097,0.2608589550299931
31,0.2608179490295722,0.26077348579995097,0.2608589550299931
32,0.2608167494630217,0.2607702001150133,0.2608589550299931
33,0.2608167494630217,0.2607702001150133,0.26085765497692
34,0.2608167494630217,0.2607702001150133,0.26085765497692
35,0.2608167494630217,0.2607702001150133,0.26085765497692
36,0.2608167494630217,0.2607702001150133,0.26085765497692
37,0.26081490259620804,0.26076867624339584,0.26085411758399313
38,0.26081490259620804,0.26076867624339584,0.26085411758399313
39,0.260811665145312,0.26076867624339584,0.2608537425771573
40,0.260811665145312,0.26076867624339584,0.2608531377968809
41,0.26080732375833515,0.26076392463014275,0.2608508347613533
42,0.26080732375833515,0.26076392463014275,0.2608508347613533
43,0.26080268187569555,0.2607562787009988,0.2608508347613533
44,0.26080240880790895,0.2607562787009988,0.2608498447766822
45,0.26080240880790895,0.2607562787009988,0.2608498447766822
46,0.26080240880790895,0.2607562787009988,0.2608498447766822
47,0.26080240880790895,0.2607562787009988,0.2608498447766822
48,0.26080240880790895,0.26075107487625504,0.2608498447766822
49,0.26080240880790895,0.26075107487625504,0.2608498447766822
50,0.2607993303346262,0.26075107487625504,0.2608498447766822
