case,shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn_050,mace_single_point_energy,mace_relaxed_energy,dft_relaxed_energy,convergence_steps
1,0.071,0.071,-3.1,-2.6,0.261010180119 ,-1119.068359375000 ,-1127.472045898430 ,-1112.48095500 ,237
2,0.071,0.214,-3.1,-2.6,0.261399269638 ,-1118.879272460930 ,-1127.344726562500 ,-1111.91657444 ,233
3,0.071,0.357,-3.1,-2.6,0.261564085936 ,-1118.869750976560 ,-1127.322387695310 ,-1112.24596968 ,189
4,0.071,0.5,-3.1,-2.6,0.261232854279 ,-1119.075927734370 ,-1127.337036132810 ,-1111.70324011 ,143
5,0.071,0.643,-3.1,-2.6,0.261277251961 ,-1118.982177734370 ,-1127.411621093750 ,-1111.30513357 ,64
6,0.071,0.786,-3.1,-2.6,0.260983059449 ,-1119.066406250000 ,-1127.290283203120 ,-1112.15582118 ,193
7,0.071,0.929,-3.1,-2.6,0.260988311144 ,-1118.996093750000 ,-1127.194335937500 ,-1112.00360869 ,170
