case,shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn_025,fgw_distance_megn_050,fgw_distance_megn_075,fgw_distance_cgnf_050,fgw_distance_magp_050,mace_single_point_energy,mace_relaxed_energy,dft_relaxed_energy,convergence_steps
34,0.643,0.786,-1.4,-1.3,0.331058267375 ,0.220705511587 ,0.110352755799 ,0.222634953455 ,0.168167932608 ,-488.147399902344 ,-489.075836181641 ,-487.35075665 ,30
35,0.643,0.929,-1.4,-1.3,0.330833319547 ,0.220555546368 ,0.110277773190 ,0.223325863162 ,0.168420405109 ,-488.146728515625 ,-489.081329345703 ,-487.35421168 ,27
36,0.786,0.071,-1.4,-1.3,0.331205164550 ,0.220803443037 ,0.110401721524 ,0.222258710536 ,0.168032163029 ,-488.148254394531 ,-489.075134277344 ,-487.34471184 ,30
37,0.786,0.214,-1.4,-1.3,0.331302835465 ,0.220868556980 ,0.110434278496 ,0.222867152947 ,0.168208987840 ,-488.147491455078 ,-489.073211669922 ,-487.35156519 ,28
38,0.786,0.357,-1.4,-1.3,0.331058267375 ,0.220705511587 ,0.110352755799 ,0.222634953455 ,0.168167932608 ,-488.147399902344 ,-489.075836181641 ,-487.35094840 ,27
39,0.786,0.5,-1.4,-1.3,0.331702999228 ,0.221135332822 ,0.110567666417 ,0.223111231677 ,0.168415421092 ,-488.148681640625 ,-489.054687500000 ,-487.34777686 ,27
40,0.786,0.643,-1.4,-1.3,0.331991161305 ,0.221327440873 ,0.110663720443 ,0.223615096422 ,0.168677785361 ,-488.149230957031 ,-489.051727294922 ,-487.34872053 ,31
41,0.786,0.786,-1.4,-1.3,0.331302835465 ,0.220868556980 ,0.110434278496 ,0.222867152947 ,0.168208987840 ,-488.147491455078 ,-489.073181152344 ,-487.35146820 ,30
42,0.786,0.929,-1.4,-1.3,0.331058653425 ,0.220705768953 ,0.110352884483 ,0.223230698803 ,0.168362101599 ,-488.146850585938 ,-489.080108642578 ,-487.35359718 ,30
43,0.929,0.071,-1.4,-1.3,0.331554436120 ,0.221036290750 ,0.110518145381 ,0.223051252575 ,0.168357819534 ,-488.148681640625 ,-489.054626464844 ,-487.34739683 ,26
44,0.929,0.214,-1.4,-1.3,0.331058653425 ,0.220705768953 ,0.110352884483 ,0.223230698803 ,0.168362101599 ,-488.146850585938 ,-489.080108642578 ,-487.35347890 ,29
45,0.929,0.357,-1.4,-1.3,0.330833319547 ,0.220555546368 ,0.110277773190 ,0.223325863162 ,0.168420405109 ,-488.146697998047 ,-489.081359863281 ,-487.35419837 ,29
46,0.929,0.5,-1.4,-1.3,0.331253603047 ,0.220835735368 ,0.110417867690 ,0.222467235837 ,0.168100394274 ,-488.148315429688 ,-489.070983886719 ,-487.34592470 ,27
47,0.929,0.643,-1.4,-1.3,0.331707752299 ,0.221138501536 ,0.110569250774 ,0.223165117252 ,0.168342775006 ,-488.148010253906 ,-489.058898925781 ,-487.34919208 ,28
48,0.929,0.786,-1.4,-1.3,0.331205164550 ,0.220803443037 ,0.110401721524 ,0.222258710536 ,0.168032163029 ,-488.148315429688 ,-489.075134277344 ,-487.34462962 ,27
49,0.929,0.929,-1.4,-1.3,0.331554436120 ,0.221036290750 ,0.110518145381 ,0.223051252575 ,0.168357819534 ,-488.148681640625 ,-489.054626464844 ,-487.34739333 ,26
