shift_a,shift_b,shift_c_sp,shift_c_relax,fgw_distance_megn,fgw_distance_cgnf,fgw_distance_magp,mace_single_point_energy,mace_relaxed_energy
0.026,0.026,-3.1,-2.6,0.261392686102 ,0.244651713837 ,0.256908102656 ,-1118.896362304680 ,-1127.357543945310 
0.026,0.079,-3.1,-2.6,0.260906685814 ,0.242666374047 ,0.254531177054 ,-1119.059326171870 ,-1127.404663085930 
0.026,0.132,-3.1,-2.6,0.261449587746 ,0.244339570888 ,0.256840421864 ,-1118.981201171870 ,-1127.330322265620 
0.026,0.184,-3.1,-2.6,0.261759890201 ,0.245879593937 ,0.258566830467 ,-1118.824340820310 ,-1126.956909179680 
0.026,0.237,-3.1,-2.6,0.261637154472 ,0.245369335014 ,0.257900722338 ,-1118.866821289060 ,-1127.304077148430 
0.026,0.289,-3.1,-2.6,0.261229042048 ,0.243667754116 ,0.255965878943 ,-1119.046264648430 ,-1127.281005859370 
0.026,0.342,-3.1,-2.6,0.261347871797 ,0.243932330457 ,0.256443857304 ,-1119.052856445310 ,-1127.321044921870 
0.026,0.395,-3.1,-2.6,0.261052711853 ,0.243532362779 ,0.255359129442 ,-1118.969726562500 ,-1127.392456054680 
0.026,0.447,-3.1,-2.6,0.261363667476 ,0.244128057668 ,0.256494136774 ,-1118.969238281250 ,-1127.399780273430 
0.026,0.5,-3.1,-2.6,0.261301717452 ,0.243728072513 ,0.256226645894 ,-1119.063598632810 ,-1127.344116210930 
0.026,0.553,-3.1,-2.6,0.261362693258 ,0.243908596455 ,0.256508009698 ,-1119.070190429680 ,-1127.337280273430 
0.026,0.605,-3.1,-2.6,0.260964826331 ,0.242721004424 ,0.254703205842 ,-1119.066406250000 ,-1127.379272460930 
0.026,0.658,-3.1,-2.6,0.261088761505 ,0.242784696124 ,0.254907161665 ,-1119.065185546870 ,-1127.472656250000 
0.026,0.711,-3.1,-2.6,0.260880988096 ,0.242660723532 ,0.254451572421 ,-1119.049804687500 ,-1127.417968750000 
0.026,0.763,-3.1,-2.6,0.261402151886 ,0.244407609161 ,0.256721535537 ,-1118.958618164060 ,-1127.163330078120 
0.026,0.816,-3.1,-2.6,0.261267774337 ,0.243700613378 ,0.255999549328 ,-1119.003173828120 ,-1127.425170898430 
0.026,0.868,-3.1,-2.6,0.261066656675 ,0.242676658302 ,0.254773009304 ,-1119.071899414060 ,-1127.477416992180 
0.026,0.921,-3.1,-2.6,0.261149001425 ,0.243523638760 ,0.255592960995 ,-1118.984252929680 ,-1127.411499023430 
0.026,0.974,-3.1,-2.6,0.261723920952 ,0.245779236092 ,0.258420592329 ,-1118.829223632810 ,-1127.070190429680 
0.079,0.026,-3.1,-2.6,0.261099499606 ,0.242933470385 ,0.255055591237 ,-1119.050781250000 ,-1127.459716796870 
0.079,0.079,-3.1,-2.6,0.261083983125 ,0.242823369179 ,0.254929862788 ,-1119.058715820310 ,-1127.468383789060 
0.079,0.132,-3.1,-2.6,0.261281371303 ,0.244276148262 ,0.256399277614 ,-1118.919189453120 ,-1127.367187500000 
0.079,0.184,-3.1,-2.6,0.261763643636 ,0.245826284389 ,0.258533459794 ,-1118.830810546870 ,-1127.369506835930 
0.079,0.237,-3.1,-2.6,0.260996623729 ,0.243243413212 ,0.255054384776 ,-1118.986083984370 ,-1127.479125976560 
0.079,0.289,-3.1,-2.6,0.261132261881 ,0.243183716320 ,0.255418356715 ,-1119.058959960930 ,-1127.454833984370 
0.079,0.342,-3.1,-2.6,0.261602771798 ,0.245112504362 ,0.257652718205 ,-1118.895263671870 ,-1127.363647460930 
0.079,0.395,-3.1,-2.6,0.261857589253 ,0.246201194890 ,0.259026907324 ,-1118.803222656250 ,-1127.281372070310 
0.079,0.447,-3.1,-2.6,0.261340146946 ,0.244339604178 ,0.256521119362 ,-1118.944824218750 ,-1127.163208007810 
0.079,0.5,-3.1,-2.6,0.261289128475 ,0.243706354004 ,0.256209678039 ,-1119.074707031250 ,-1127.333251953120 
0.079,0.553,-3.1,-2.6,0.261235982293 ,0.243853881751 ,0.256014000796 ,-1119.001220703120 ,-1127.339599609370 
0.079,0.605,-3.1,-2.6,0.261232721823 ,0.244056834978 ,0.256142736741 ,-1118.935058593750 ,-1127.369140625000 
0.079,0.658,-3.1,-2.6,0.261407924601 ,0.244149751600 ,0.256642569689 ,-1119.001342773430 ,-1127.339355468750 
0.079,0.711,-3.1,-2.6,0.261342657001 ,0.243849990390 ,0.256447975320 ,-1119.080322265620 ,-1127.328735351560 
0.079,0.763,-3.1,-2.6,0.261197331911 ,0.243443702496 ,0.255797739736 ,-1119.068481445310 ,-1127.360595703120 
0.079,0.816,-3.1,-2.6,0.260950909000 ,0.242588017667 ,0.254497662816 ,-1119.057617187500 ,-1127.453369140620 
0.079,0.868,-3.1,-2.6,0.261044557787 ,0.242783120425 ,0.254872258381 ,-1119.066284179680 ,-1127.450561523430 
0.079,0.921,-3.1,-2.6,0.261025796410 ,0.243252004040 ,0.255152454653 ,-1119.020874023430 ,-1127.353149414060 
0.079,0.974,-3.1,-2.6,0.261476399311 ,0.244459799272 ,0.256968125737 ,-1118.972412109370 ,-1127.431152343750 
0.132,0.026,-3.1,-2.6,0.261073361475 ,0.242862215225 ,0.254940376551 ,-1119.050781250000 ,-1127.461425781250 
0.132,0.079,-3.1,-2.6,0.260949362820 ,0.242732554200 ,0.254687067366 ,-1119.065185546870 ,-1127.404663085930 
0.132,0.132,-3.1,-2.6,0.261302914043 ,0.244024277712 ,0.256279795378 ,-1118.997070312500 ,-1127.341430664060 
0.132,0.184,-3.1,-2.6,0.261304841308 ,0.243779431827 ,0.256160419746 ,-1119.014038085930 ,-1127.379394531250 
0.132,0.237,-3.1,-2.6,0.261084638204 ,0.242688484081 ,0.254806356239 ,-1119.072875976560 ,-1127.481445312500 
0.132,0.289,-3.1,-2.6,0.261031288207 ,0.243023419464 ,0.254978015482 ,-1119.018798828120 ,-1127.430053710930 
