group,grid_idx,shift_a,shift_b,shift_c,fgw_score,relaxed_energy_eV
proxy_top8,9,0.125,0.125,-1.4500000000000002,0.22360996000363875,-489.01483154296875
proxy_top8,45,0.625,0.625,-1.4500000000000002,0.2236099600036388,-489.0148010253906
proxy_top8,41,0.625,0.125,-1.4500000000000002,0.22360996000363886,-489.01483154296875
proxy_top8,59,0.875,0.375,-1.4500000000000002,0.22360996000363886,-489.0148010253906
proxy_top8,13,0.125,0.625,-1.4500000000000002,0.22360996000363897,-489.01483154296875
proxy_top8,31,0.375,0.875,-1.4500000000000002,0.22360996000363906,-489.01483154296875
proxy_top8,27,0.375,0.375,-1.4500000000000002,0.22360996000363914,-489.01483154296875
proxy_top8,63,0.875,0.875,-1.4500000000000002,0.2236099600036393,-489.01483154296875
middle_random_8,43,0.625,0.375,-1.4500000000000002,0.22360996000363959,-489.01483154296875
middle_random_8,15,0.125,0.875,-1.4500000000000002,0.2236099600036397,-489.01483154296875
middle_random_8,29,0.375,0.625,-1.4500000000000002,0.22360996000363975,-489.01483154296875
middle_random_8,40,0.625,0.0,-1.4500000000000002,0.22474456137163296,-489.00738525390625
middle_random_8,3,0.0,0.375,-1.4500000000000002,0.22474456137163296,-489.00738525390625
middle_random_8,5,0.0,0.625,-1.4500000000000002,0.22474456137163318,-489.00738525390625
middle_random_8,1,0.0,0.125,-1.4500000000000002,0.2247445613716333,-489.00738525390625
middle_random_8,51,0.75,0.375,-1.4500000000000002,0.2247445613716334,-489.00738525390625
fgw_highest_8,2,0.0,0.25,-1.4500000000000002,0.22563771836842406,-488.98931884765625
fgw_highest_8,52,0.75,0.5,-1.4500000000000002,0.22563771836842422,-488.98931884765625
fgw_highest_8,34,0.5,0.25,-1.4500000000000002,0.2256377183684243,-488.9892578125
fgw_highest_8,6,0.0,0.75,-1.4500000000000002,0.2256377183684244,-488.9893493652344
fgw_highest_8,38,0.5,0.75,-1.4500000000000002,0.22563771836842444,-488.98931884765625
fgw_highest_8,16,0.25,0.0,-1.4500000000000002,0.22563771836842447,-488.98931884765625
fgw_highest_8,20,0.25,0.5,-1.4500000000000002,0.22563771836842458,-488.98931884765625
fgw_highest_8,48,0.75,0.0,-1.4500000000000002,0.2256377183684246,-488.98931884765625
